productid,date,state,market size,product type,caffeine type,sales,cogs,total expesense,marketing,inventory,budget cogs,budget sales
8,2010-01-01,Illinois,Major Market,Herbal Tea,Decaf,219,89,35,24,777,70,190
9,2010-01-01,Missouri,Small Market,Herbal Tea,Decaf,99,88,50,27,525,70,80
11,2010-01-01,Missouri,Small Market,Tea,Regular,82,35,38,11,196,30,70
5,2010-01-01,New York,Major Market,Espresso,Regular,61,105,128,95,725,100,50
1,2010-01-01,Iowa,Small Market,Coffee,Regular,45,18,16,5,821,10,40
12,2010-01-01,Iowa,Small Market,Tea,Regular,546,245,126,93,1419,210,480
3,2010-01-01,Texas,Major Market,Coffee,Decaf,190,83,39,27,623,100,230
5,2010-01-01,Texas,Major Market,Espresso,Regular,219,89,35,24,777,70,180
5,2010-01-01,Louisiana,Small Market,Espresso,Regular,180,67,43,20,400,50,150
6,2010-01-01,Louisiana,Small Market,Espresso,Decaf,150,61,41,19,390,50,120
8,2010-01-01,Louisiana,Small Market,Herbal Tea,Decaf,112,49,28,16,623,40,100
9,2010-01-01,Massachusetts,Major Market,Herbal Tea,Decaf,130,58,55,22,338,40,100
13,2010-01-01,New York,Major Market,Tea,Regular,134,54,26,15,456,50,140
11,2010-01-01,New York,Major Market,Tea,Regular,234,95,38,26,821,100,250
13,2010-01-01,Washington,Small Market,Tea,Regular,180,75,97,68,522,40,120
9,2010-01-01,Washington,Small Market,Herbal Tea,Decaf,85,34,21,9,777,20,70
11,2010-01-01,Washington,Small Market,Tea,Regular,180,67,43,20,400,40,120
5,2010-01-01,Oklahoma,Small Market,Espresso,Regular,80,32,20,8,456,20,60
6,2010-01-01,Oklahoma,Small Market,Espresso,Decaf,210,84,59,27,651,70,180
4,2010-01-01,Oklahoma,Small Market,Espresso,Regular,200,84,50,26,500,70,170
2,2010-01-01,Texas,Major Market,Coffee,Regular,452,207,86,64,965,260,560
2,2010-01-01,Massachusetts,Major Market,Coffee,Regular,494,72,55,23,558,60,460
3,2010-01-01,Wisconsin,Small Market,Coffee,Decaf,180,77,52,25,432,80,180
5,2010-01-01,Wisconsin,Small Market,Espresso,Regular,150,69,43,21,965,80,170
13,2010-01-01,Missouri,Small Market,Tea,Regular,76,34,46,12,197,20,60
4,2010-01-01,Washington,Small Market,Espresso,Regular,110,48,27,15,623,40,100
2,2010-01-01,Utah,Small Market,Coffee,Regular,130,55,45,18,312,60,160
13,2010-01-01,Utah,Small Market,Tea,Regular,65,29,45,11,169,10,40
5,2010-01-01,Utah,Small Market,Espresso,Regular,112,49,29,16,623,40,100
6,2010-01-01,Utah,Small Market,Espresso,Decaf,123,50,26,14,821,40,110
9,2010-01-01,Utah,Small Market,Herbal Tea,Decaf,120,48,47,15,372,40,100
10,2010-01-01,Utah,Small Market,Herbal Tea,Decaf,99,88,51,27,525,70,80
11,2010-01-01,Utah,Small Market,Tea,Regular,90,37,63,34,261,20,60
12,2010-01-01,Utah,Small Market,Tea,Regular,82,35,38,11,196,20,50
4,2010-01-01,Utah,Small Market,Espresso,Regular,114,46,24,12,777,40,100
2,2010-01-01,Connecticut,Small Market,Coffee,Regular,310,124,71,40,961,110,290
13,2010-01-01,Connecticut,Small Market,Tea,Regular,94,38,21,10,777,40,100
6,2010-01-01,Connecticut,Small Market,Espresso,Decaf,130,55,45,18,312,50,120
10,2010-01-01,Connecticut,Small Market,Herbal Tea,Decaf,170,78,45,24,965,50,130
11,2010-01-01,Connecticut,Small Market,Tea,Regular,123,50,26,14,821,50,130
2,2010-01-01,Oregon,Small Market,Coffee,Regular,160,67,65,22,400,80,200
5,2010-01-01,Oregon,Small Market,Espresso,Regular,140,60,47,19,336,50,130
9,2010-01-01,Oregon,Small Market,Herbal Tea,Decaf,100,44,27,14,623,30,80
12,2010-01-01,Oregon,Small Market,Tea,Regular,210,84,58,27,651,50,140
4,2010-01-01,Oregon,Small Market,Espresso,Regular,130,58,56,22,338,50,120
9,2010-01-01,Louisiana,Small Market,Herbal Tea,Decaf,190,85,65,32,494,80,180
4,2010-01-01,Louisiana,Small Market,Espresso,Regular,180,75,97,68,522,60,150
2,2010-01-01,New Mexico,Small Market,Coffee,Regular,120,48,46,15,372,60,150
3,2010-01-01,New Mexico,Small Market,Coffee,Decaf,99,88,50,27,525,110,120
5,2010-01-01,New Mexico,Small Market,Espresso,Regular,90,37,63,34,261,30,70
6,2010-01-01,New Mexico,Small Market,Espresso,Decaf,82,35,38,11,196,30,70
8,2010-01-01,New Mexico,Small Market,Herbal Tea,Decaf,45,18,16,5,821,10,40
9,2010-01-01,New Mexico,Small Market,Herbal Tea,Decaf,62,28,30,8,965,20,60
4,2010-01-01,New Mexico,Small Market,Espresso,Regular,65,29,44,11,169,20,50
11,2010-01-01,Massachusetts,Major Market,Tea,Regular,80,32,19,8,821,30,80
3,2010-01-01,Washington,Small Market,Coffee,Decaf,190,79,102,72,551,90,230
8,2010-01-01,California,Major Market,Herbal Tea,Decaf,234,95,37,26,821,80,200
1,2010-01-01,Oregon,Small Market,Coffee,Regular,150,63,86,57,435,70,180
13,2010-01-01,Oregon,Small Market,Tea,Regular,200,84,49,26,500,50,130
2,2010-01-01,California,Major Market,Coffee,Regular,678,271,145,94,2101,340,840
5,2010-01-01,Iowa,Small Market,Espresso,Regular,43,17,15,4,777,10,50
6,2010-01-01,Iowa,Small Market,Espresso,Decaf,43,17,16,4,777,10,50
9,2010-01-01,Iowa,Small Market,Herbal Tea,Decaf,234,95,53,30,608,80,200
11,2010-01-01,Ohio,Major Market,Tea,Regular,210,84,58,27,651,70,180
3,2010-01-01,Missouri,Small Market,Coffee,Decaf,170,78,45,24,965,80,170
5,2010-01-01,Missouri,Small Market,Espresso,Regular,123,50,25,14,821,50,140
8,2010-01-01,Missouri,Small Market,Herbal Tea,Decaf,90,37,64,34,261,30,70
12,2010-01-01,Missouri,Small Market,Tea,Regular,65,29,45,11,169,20,50
2,2010-01-01,Oklahoma,Small Market,Coffee,Regular,100,44,27,14,623,50,120
3,2010-01-01,Oklahoma,Small Market,Coffee,Decaf,80,32,20,8,821,40,100
9,2010-01-01,Oklahoma,Small Market,Herbal Tea,Decaf,190,79,101,72,551,70,180
1,2010-01-01,New Hampshire,Small Market,Coffee,Regular,93,38,35,12,241,30,80
2,2010-01-01,New Hampshire,Small Market,Coffee,Regular,120,48,47,15,372,40,110
13,2010-01-01,New Hampshire,Small Market,Tea,Regular,43,17,15,4,777,10,40
5,2010-01-01,New Hampshire,Small Market,Espresso,Regular,90,37,63,34,261,30,80
9,2010-01-01,New Hampshire,Small Market,Herbal Tea,Decaf,76,34,46,12,197,20,50
11,2010-01-01,New Hampshire,Small Market,Tea,Regular,45,18,17,5,821,10,40
7,2010-01-01,New Hampshire,Small Market,Espresso,Regular,65,29,44,11,169,20,60
9,2010-01-01,New York,Major Market,Herbal Tea,Decaf,483,245,127,93,1419,180,370
11,2010-01-01,Wisconsin,Small Market,Tea,Regular,150,61,42,19,390,50,130
2,2010-01-01,Ohio,Major Market,Coffee,Regular,140,57,41,18,364,60,140
3,2010-01-01,Ohio,Major Market,Coffee,Decaf,150,63,87,57,435,60,150
5,2010-01-01,Ohio,Major Market,Espresso,Regular,341,170,72,47,1091,190,400
6,2010-01-01,Ohio,Major Market,Espresso,Decaf,130,58,56,22,338,60,150
11,2010-01-01,California,Major Market,Tea,Regular,219,89,36,24,777,50,140
6,2010-01-01,Illinois,Major Market,Espresso,Decaf,456,228,88,63,1459,260,530
9,2010-01-01,Illinois,Major Market,Herbal Tea,Decaf,190,83,39,27,623,70,160
7,2010-01-01,New York,Major Market,Espresso,Regular,490,228,87,63,1459,210,480
2,2010-01-01,Missouri,Small Market,Coffee,Regular,190,85,66,32,494,90,190
2,2010-01-01,Iowa,Small Market,Coffee,Regular,62,28,29,8,965,20,60
8,2010-01-01,Iowa,Small Market,Herbal Tea,Decaf,546,234,110,77,1310,200,480
12,2010-01-01,New York,Major Market,Tea,Regular,219,89,36,24,777,90,230
3,2010-01-01,California,Major Market,Coffee,Decaf,118,144,91,47,862,180,140
12,2010-01-01,California,Major Market,Tea,Regular,134,54,26,15,456,30,90
6,2010-01-01,Missouri,Small Market,Espresso,Decaf,114,46,23,12,777,50,130
4,2010-01-01,California,Major Market,Espresso,Regular,456,228,88,63,1459,210,430
2,2010-01-01,Nevada,Small Market,Coffee,Regular,76,34,45,12,197,40,90
13,2010-01-01,Nevada,Small Market,Tea,Regular,17,245,126,93,1419,160,0
5,2010-01-01,Nevada,Small Market,Espresso,Regular,45,18,17,5,821,10,40
8,2010-01-01,Nevada,Small Market,Herbal Tea,Decaf,250,105,129,95,725,90,220
10,2010-01-01,Nevada,Small Market,Herbal Tea,Decaf,234,95,53,30,608,80,200
10,2010-01-01,California,Major Market,Herbal Tea,Decaf,190,83,40,27,623,70,160
12,2010-01-01,Illinois,Major Market,Tea,Regular,180,72,54,23,558,60,150
3,2010-01-01,Iowa,Small Market,Coffee,Decaf,54,23,19,7,623,20,50
11,2010-01-01,Iowa,Small Market,Tea,Regular,456,228,87,63,1459,190,400
8,2010-01-01,Wisconsin,Small Market,Herbal Tea,Decaf,180,67,43,20,400,50,150
9,2010-01-01,Wisconsin,Small Market,Herbal Tea,Decaf,81,33,20,9,777,20,70
2,2010-01-01,New York,Major Market,Coffee,Regular,678,271,145,94,2101,260,640
1,2010-01-01,Colorado,Major Market,Coffee,Regular,219,89,36,24,777,90,220
9,2010-01-01,Colorado,Major Market,Herbal Tea,Decaf,150,63,87,57,435,50,130
11,2010-01-01,Colorado,Major Market,Tea,Regular,130,58,55,22,338,40,110
6,2010-01-01,Colorado,Major Market,Espresso,Decaf,180,72,55,23,558,80,210
1,2010-01-01,Ohio,Major Market,Coffee,Regular,140,60,46,19,336,60,140
9,2010-01-01,Ohio,Major Market,Herbal Tea,Decaf,80,32,19,8,821,20,70
3,2010-01-01,Florida,Major Market,Coffee,Decaf,200,84,49,26,500,80,190
13,2010-01-01,Florida,Major Market,Tea,Regular,81,33,20,9,777,30,80
6,2010-01-01,Florida,Major Market,Espresso,Decaf,180,77,53,25,432,70,170
13,2010-01-01,California,Major Market,Tea,Regular,180,72,54,23,558,40,120
10,2010-01-01,Florida,Major Market,Herbal Tea,Decaf,150,69,42,21,965,50,110
10,2010-01-01,Illinois,Major Market,Herbal Tea,Decaf,234,95,38,26,821,80,200
3,2010-01-01,Nevada,Small Market,Coffee,Decaf,62,28,30,8,965,30,70
6,2010-01-01,Nevada,Small Market,Espresso,Decaf,43,17,15,4,777,10,40
9,2010-01-01,Nevada,Small Market,Herbal Tea,Decaf,345,144,90,47,862,120,300
11,2010-01-01,Nevada,Small Market,Tea,Regular,546,234,109,77,1310,150,370
12,2010-01-01,Nevada,Small Market,Tea,Regular,456,228,87,63,1459,150,310
4,2010-01-01,Nevada,Small Market,Espresso,Regular,43,17,15,4,777,10,40
13,2010-01-01,Massachusetts,Major Market,Tea,Regular,80,32,19,8,456,30,80
5,2010-01-01,Massachusetts,Major Market,Espresso,Regular,126,63,86,57,435,60,120
1,2010-01-01,Utah,Small Market,Coffee,Regular,170,78,45,24,965,90,210
3,2010-01-01,Utah,Small Market,Coffee,Decaf,190,85,66,32,494,100,230
8,2010-01-01,Utah,Small Market,Herbal Tea,Decaf,93,38,34,12,241,30,80
5,2010-01-01,California,Major Market,Espresso,Regular,250,105,128,95,725,100,240
4,2010-01-01,Texas,Major Market,Espresso,Regular,180,72,55,23,558,60,150
10,2010-01-01,New York,Major Market,Herbal Tea,Decaf,180,207,86,64,965,150,140
5,2010-01-01,Connecticut,Small Market,Espresso,Regular,180,75,98,68,522,70,170
9,2010-01-01,Connecticut,Small Market,Herbal Tea,Decaf,190,85,65,32,494,60,140
8,2010-01-01,Florida,Major Market,Herbal Tea,Decaf,110,48,28,15,623,30,80
1,2010-01-01,California,Major Market,Coffee,Regular,145,95,52,30,608,110,180
8,2010-01-01,Oklahoma,Small Market,Herbal Tea,Decaf,120,54,53,20,312,50,110
8,2010-01-01,Ohio,Major Market,Herbal Tea,Decaf,80,32,19,8,456,20,70
2,2010-01-01,Florida,Major Market,Coffee,Regular,210,84,58,27,651,80,190
11,2010-01-01,Florida,Major Market,Tea,Regular,80,32,20,8,821,30,80
6,2010-01-01,Texas,Major Market,Espresso,Decaf,134,54,26,15,456,40,110
2,2010-01-01,Colorado,Major Market,Coffee,Regular,190,83,39,27,623,80,190
3,2010-01-01,Colorado,Major Market,Coffee,Decaf,234,95,38,26,821,100,240
8,2010-01-01,Colorado,Major Market,Herbal Tea,Decaf,341,170,72,47,1091,140,300
10,2010-01-01,Colorado,Major Market,Herbal Tea,Decaf,140,60,47,19,336,50,120
3,2010-01-01,Oregon,Small Market,Coffee,Decaf,140,57,41,18,364,70,170
6,2010-01-01,Oregon,Small Market,Espresso,Decaf,341,170,72,47,1091,160,320
8,2010-01-01,Oregon,Small Market,Herbal Tea,Decaf,90,36,21,10,777,30,70
11,2010-01-01,Oregon,Small Market,Tea,Regular,80,32,20,8,456,20,50
7,2010-01-01,Massachusetts,Major Market,Espresso,Regular,341,170,71,47,1091,160,330
3,2010-01-01,Louisiana,Small Market,Coffee,Decaf,81,33,20,9,777,40,100
6,2010-02-01,Connecticut,Small Market,Espresso,Decaf,130,55,46,18,305,50,120
3,2010-02-01,Washington,Small Market,Coffee,Decaf,220,92,113,83,541,110,270
8,2010-02-01,Washington,Small Market,Herbal Tea,Decaf,325,130,74,42,945,110,280
12,2010-02-01,Washington,Small Market,Tea,Regular,137,56,40,17,382,30,90
8,2010-02-01,Texas,Major Market,Herbal Tea,Decaf,140,60,47,19,329,50,130
9,2010-02-01,Louisiana,Small Market,Herbal Tea,Decaf,193,86,65,32,484,80,180
5,2010-02-01,Ohio,Major Market,Espresso,Regular,340,170,72,47,1073,190,400
13,2010-02-01,Washington,Small Market,Tea,Regular,155,65,87,58,513,40,100
5,2010-02-01,Washington,Small Market,Espresso,Regular,118,53,53,20,306,50,110
1,2010-02-01,Wisconsin,Small Market,Coffee,Regular,118,53,53,20,306,50,120
9,2010-02-01,Wisconsin,Small Market,Herbal Tea,Decaf,115,47,25,13,772,40,100
1,2010-02-01,Colorado,Major Market,Coffee,Regular,243,99,39,27,766,100,250
6,2010-02-01,Colorado,Major Market,Espresso,Decaf,189,75,55,24,549,80,220
10,2010-02-01,Colorado,Major Market,Herbal Tea,Decaf,140,60,47,19,329,50,120
3,2010-02-01,Florida,Major Market,Coffee,Decaf,206,86,49,26,490,80,190
5,2010-02-01,Florida,Major Market,Espresso,Regular,220,92,112,83,541,80,210
11,2010-02-01,Illinois,Major Market,Tea,Regular,189,77,33,21,449,60,160
2,2010-02-01,Illinois,Major Market,Coffee,Regular,354,148,91,48,844,150,370
6,2010-02-01,Illinois,Major Market,Espresso,Decaf,457,228,87,63,1436,260,530
2,2010-02-01,Missouri,Small Market,Coffee,Regular,193,86,65,32,484,90,200
12,2010-02-01,Missouri,Small Market,Tea,Regular,68,30,45,11,165,20,50
4,2010-02-01,Louisiana,Small Market,Espresso,Regular,155,65,88,58,342,50,130
2,2010-02-01,Iowa,Small Market,Coffee,Regular,63,28,29,8,961,20,60
5,2010-02-01,Iowa,Small Market,Espresso,Regular,47,19,17,5,774,20,50
8,2010-02-01,Ohio,Major Market,Herbal Tea,Decaf,56,22,17,6,452,10,40
2,2010-02-01,Louisiana,Small Market,Coffee,Regular,94,38,22,10,772,40,110
8,2010-02-01,Louisiana,Small Market,Herbal Tea,Decaf,112,49,28,16,617,40,100
11,2010-02-01,Washington,Small Market,Tea,Regular,174,65,43,20,372,40,110
4,2010-02-01,Washington,Small Market,Espresso,Regular,110,48,27,15,617,40,100
3,2010-02-01,Oklahoma,Small Market,Coffee,Decaf,80,32,19,8,817,40,100
6,2010-02-01,Oklahoma,Small Market,Espresso,Decaf,200,80,57,26,640,60,170
9,2010-02-01,Oklahoma,Small Market,Herbal Tea,Decaf,220,92,113,83,541,80,210
4,2010-02-01,Oklahoma,Small Market,Espresso,Regular,206,86,50,26,300,70,170
6,2010-02-01,Florida,Major Market,Espresso,Decaf,180,77,52,25,423,70,170
3,2010-02-01,Wisconsin,Small Market,Coffee,Decaf,180,77,53,25,423,80,180
5,2010-02-01,Wisconsin,Small Market,Espresso,Regular,154,70,42,21,957,80,180
12,2010-02-01,Wisconsin,Small Market,Tea,Regular,155,65,87,58,513,50,130
2,2010-02-01,California,Major Market,Coffee,Regular,645,258,142,90,2067,320,800
9,2010-02-01,Missouri,Small Market,Herbal Tea,Decaf,102,84,50,26,625,70,80
3,2010-02-01,Texas,Major Market,Coffee,Decaf,190,83,39,27,613,100,230
9,2010-02-01,Texas,Major Market,Herbal Tea,Decaf,128,52,38,16,357,40,120
1,2010-02-01,Utah,Small Market,Coffee,Regular,165,75,44,23,956,90,200
2,2010-02-01,Utah,Small Market,Coffee,Regular,130,55,45,18,305,60,160
3,2010-02-01,Utah,Small Market,Coffee,Decaf,193,86,66,32,484,100,240
13,2010-02-01,Utah,Small Market,Tea,Regular,68,30,44,11,165,10,40
6,2010-02-01,Utah,Small Market,Espresso,Decaf,123,50,25,14,814,40,110
8,2010-02-01,Utah,Small Market,Herbal Tea,Decaf,101,41,36,13,236,30,80
9,2010-02-01,Utah,Small Market,Herbal Tea,Decaf,114,45,45,14,366,30,100
10,2010-02-01,Utah,Small Market,Herbal Tea,Decaf,102,84,49,26,625,70,80
11,2010-02-01,Utah,Small Market,Tea,Regular,104,43,68,39,256,20,70
12,2010-02-01,Utah,Small Market,Tea,Regular,82,35,38,11,191,20,50
4,2010-02-01,Utah,Small Market,Espresso,Regular,103,42,23,11,771,40,90
13,2010-02-01,Connecticut,Small Market,Tea,Regular,66,27,18,7,772,20,70
9,2010-02-01,Connecticut,Small Market,Herbal Tea,Decaf,193,86,66,32,484,60,150
11,2010-02-01,Connecticut,Small Market,Tea,Regular,123,50,25,14,814,50,130
2,2010-02-01,Oregon,Small Market,Coffee,Regular,155,65,65,21,392,80,190
13,2010-02-01,Oregon,Small Market,Tea,Regular,206,86,49,26,490,50,140
4,2010-02-01,Oregon,Small Market,Espresso,Regular,132,59,55,22,331,50,120
3,2010-02-01,Louisiana,Small Market,Coffee,Decaf,115,47,24,13,772,50,140
5,2010-02-01,Louisiana,Small Market,Espresso,Regular,174,65,44,20,372,50,140
2,2010-02-01,New Mexico,Small Market,Coffee,Regular,114,45,45,14,366,50,140
3,2010-02-01,New Mexico,Small Market,Coffee,Decaf,102,84,49,26,625,100,120
5,2010-02-01,New Mexico,Small Market,Espresso,Regular,104,43,68,39,256,30,80
6,2010-02-01,New Mexico,Small Market,Espresso,Decaf,82,35,39,11,191,30,70
8,2010-02-01,New Mexico,Small Market,Herbal Tea,Decaf,45,18,17,5,818,10,40
9,2010-02-01,New Mexico,Small Market,Herbal Tea,Decaf,63,28,30,8,961,20,60
4,2010-02-01,New Mexico,Small Market,Espresso,Regular,68,30,45,11,104,20,50
5,2010-02-01,Massachusetts,Major Market,Espresso,Regular,128,54,78,49,451,50,120
7,2010-02-01,Massachusetts,Major Market,Espresso,Regular,340,170,71,47,1073,160,330
2,2010-02-01,Washington,Small Market,Coffee,Regular,142,58,40,18,331,70,170
6,2010-02-01,Washington,Small Market,Espresso,Decaf,154,70,43,21,957,60,140
9,2010-02-01,Washington,Small Market,Herbal Tea,Decaf,94,38,22,10,772,30,80
4,2010-02-01,Texas,Major Market,Espresso,Regular,189,75,56,24,378,60,160
2,2010-02-01,Ohio,Major Market,Coffee,Regular,128,52,38,16,357,50,130
12,2010-02-01,Ohio,Major Market,Tea,Regular,206,86,49,26,490,70,180
12,2010-02-01,Iowa,Small Market,Tea,Regular,534,240,125,91,1391,200,460
9,2010-02-01,New York,Major Market,Herbal Tea,Decaf,495,240,124,91,1454,180,380
12,2010-02-01,New York,Major Market,Tea,Regular,243,99,39,27,766,100,260
10,2010-02-01,California,Major Market,Herbal Tea,Decaf,190,83,39,27,613,70,160
5,2010-02-01,Oregon,Small Market,Espresso,Regular,140,60,47,19,329,50,130
9,2010-02-01,Oregon,Small Market,Herbal Tea,Decaf,100,44,26,14,618,30,80
11,2010-02-01,Oregon,Small Market,Tea,Regular,56,22,17,6,452,10,30
8,2010-02-01,Iowa,Small Market,Herbal Tea,Decaf,545,234,110,77,1282,200,470
9,2010-02-01,Iowa,Small Market,Herbal Tea,Decaf,254,104,55,33,596,80,220
11,2010-02-01,Iowa,Small Market,Tea,Regular,457,228,88,63,1436,190,400
13,2010-02-01,Missouri,Small Market,Tea,Regular,74,33,45,12,193,20,60
5,2010-02-01,Missouri,Small Market,Espresso,Regular,123,50,25,14,814,50,140
6,2010-02-01,Missouri,Small Market,Espresso,Decaf,103,42,23,11,771,40,120
5,2010-02-01,New York,Major Market,Espresso,Regular,61,121,143,110,901,110,50
7,2010-02-01,New York,Major Market,Espresso,Regular,580,228,88,63,1402,210,560
1,2010-02-01,New Hampshire,Small Market,Coffee,Regular,101,41,35,13,236,30,90
2,2010-02-01,New Hampshire,Small Market,Coffee,Regular,114,45,46,14,366,40,100
13,2010-02-01,New Hampshire,Small Market,Tea,Regular,43,0,11,0,774,0,40
5,2010-02-01,New Hampshire,Small Market,Espresso,Regular,104,43,68,39,256,40,100
9,2010-02-01,New Hampshire,Small Market,Herbal Tea,Decaf,74,33,45,12,193,20,50
11,2010-02-01,New Hampshire,Small Market,Tea,Regular,45,18,16,5,818,10,40
7,2010-02-01,New Hampshire,Small Market,Espresso,Regular,68,30,44,11,165,20,60
10,2010-02-01,New York,Major Market,Herbal Tea,Decaf,180,213,87,66,1214,160,140
3,2010-02-01,Ohio,Major Market,Coffee,Decaf,129,54,78,49,427,50,130
6,2010-02-01,Ohio,Major Market,Espresso,Decaf,132,59,55,22,331,60,150
11,2010-02-01,Ohio,Major Market,Tea,Regular,200,80,58,26,640,60,170
11,2010-02-01,California,Major Market,Tea,Regular,243,99,38,27,766,60,160
12,2010-02-01,Illinois,Major Market,Tea,Regular,189,75,55,24,549,60,160
11,2010-02-01,New York,Major Market,Tea,Regular,232,95,37,26,809,100,250
8,2010-02-01,Missouri,Small Market,Herbal Tea,Decaf,104,43,69,39,256,30,90
3,2010-02-01,Nevada,Small Market,Coffee,Decaf,63,28,29,8,961,30,70
13,2010-02-01,Nevada,Small Market,Tea,Regular,23,240,125,91,1937,150,0
10,2010-02-01,Nevada,Small Market,Herbal Tea,Decaf,254,104,56,33,596,80,220
12,2010-02-01,Nevada,Small Market,Tea,Regular,457,228,87,63,1436,150,310
4,2010-02-01,Nevada,Small Market,Espresso,Regular,43,0,12,0,774,0,40
5,2010-02-01,Illinois,Major Market,Espresso,Regular,545,234,110,77,1282,270,640
1,2010-02-01,Iowa,Small Market,Coffee,Regular,45,18,17,5,818,10,40
3,2010-02-01,Iowa,Small Market,Coffee,Decaf,54,23,19,7,620,20,50
6,2010-02-01,Iowa,Small Market,Espresso,Decaf,43,0,11,0,774,0,50
9,2010-02-01,California,Major Market,Herbal Tea,Decaf,465,213,88,66,942,180,400
6,2010-02-01,Wisconsin,Small Market,Espresso,Decaf,110,48,27,15,617,50,120
8,2010-02-01,Wisconsin,Small Market,Herbal Tea,Decaf,174,65,43,20,372,50,150
3,2010-02-01,Colorado,Major Market,Coffee,Decaf,232,95,38,26,809,100,240
11,2010-02-01,Colorado,Major Market,Tea,Regular,132,59,55,22,331,50,110
2,2010-02-01,Colorado,Major Market,Coffee,Regular,190,83,39,27,613,80,190
12,2010-02-01,Colorado,Major Market,Tea,Regular,136,62,40,19,958,50,110
13,2010-02-01,Florida,Major Market,Tea,Regular,115,47,24,13,772,40,120
9,2010-02-01,Florida,Major Market,Herbal Tea,Decaf,118,53,53,20,306,40,90
9,2010-02-01,Ohio,Major Market,Herbal Tea,Decaf,80,32,20,8,817,20,70
2,2010-02-01,Florida,Major Market,Coffee,Regular,200,80,57,26,640,70,190
8,2010-02-01,Florida,Major Market,Herbal Tea,Decaf,110,48,28,15,617,30,80
9,2010-02-01,Illinois,Major Market,Herbal Tea,Decaf,190,83,39,27,613,70,160
2,2010-02-01,Massachusetts,Major Market,Coffee,Regular,470,75,55,24,235,70,440
2,2010-02-01,Nevada,Small Market,Coffee,Regular,74,33,46,12,193,40,90
5,2010-02-01,Nevada,Small Market,Espresso,Regular,45,18,17,5,818,10,40
6,2010-02-01,Nevada,Small Market,Espresso,Decaf,47,19,17,5,774,10,40
8,2010-02-01,Nevada,Small Market,Herbal Tea,Decaf,290,121,143,110,712,100,250
9,2010-02-01,Nevada,Small Market,Herbal Tea,Decaf,354,148,91,48,844,120,310
11,2010-02-01,Nevada,Small Market,Tea,Regular,545,234,109,77,1282,150,370
9,2010-02-01,Massachusetts,Major Market,Herbal Tea,Decaf,132,59,55,22,331,40,100
11,2010-02-01,Florida,Major Market,Tea,Regular,80,32,20,8,817,30,80
5,2010-02-01,Utah,Small Market,Espresso,Regular,112,49,28,16,617,40,100
8,2010-02-01,Illinois,Major Market,Herbal Tea,Decaf,243,99,39,27,766,80,210
3,2010-02-01,Missouri,Small Market,Coffee,Decaf,165,75,44,23,956,70,170
11,2010-02-01,Missouri,Small Market,Tea,Regular,82,35,38,11,191,30,70
3,2010-02-01,California,Major Market,Coffee,Decaf,122,148,91,48,1071,180,150
4,2010-02-01,California,Major Market,Espresso,Regular,457,228,87,63,1436,210,430
13,2010-02-01,New York,Major Market,Tea,Regular,189,77,33,21,449,80,200
3,2010-02-01,Illinois,Major Market,Coffee,Decaf,254,104,55,33,596,110,260
10,2010-02-01,Illinois,Major Market,Herbal Tea,Decaf,232,95,38,26,809,80,200
10,2010-02-01,Florida,Major Market,Herbal Tea,Decaf,154,70,42,21,957,50,120
